model,target_scale,opt_kind,candidate_count,predicted_bpb,nearest_observed_phase_mean_tv,hard_corner_flag,phase1_tech_collapse_flag,phase0_reasoning_zero_flag,any_family_collapse_flag,scale_path_increase_violations,barrier_value,p0_support_inv_l2,p0_max_domain_weight,p0_broad_text_share,p0_tech_code_share,p0_reasoning_share,p1_support_inv_l2,p1_max_domain_weight,p1_broad_text_share,p1_tech_code_share,p1_reasoning_share,max_domain_weight
mct_lrq69_drop_Dfam,60M/1.2B,raw_random_search,6294,1.026978049775225,0.38305586561772825,False,False,False,False,0,0.0,16.32921700307179,0.12568455099297343,0.6374396675213285,0.35790015142079246,0.004660181057879299,17.74123162850011,0.11320882339091584,0.5856029171257582,0.2964884611873087,0.11790862168693308,0.12568455099297343
mct_lrq69_drop_Dfam,60M/1.2B,top8actual_hull_random_search,8000,1.0291889809033847,0.233746772484969,False,False,False,False,0,0.0,20.997832958947644,0.09729288005660683,0.6817614588644635,0.29355595666609446,0.024682584469441944,15.769077625042138,0.13391159871869762,0.6720184996239372,0.30652972849672055,0.021451771879342156,0.13391159871869762
mct_lrq69_drop_Dfam,100M/6B,raw_random_search,6294,0.9272546506378574,0.0,True,True,False,True,0,0.0,6.155142151057917,0.3127637459065495,0.47514796785049657,0.2120845073097977,0.3127675248397059,1.9686140765113973,0.5631363060809634,2.8016007271934986e-07,0.9999991125599331,6.072799940657403e-07,0.5631363060809634
mct_lrq69_drop_Dfam,100M/6B,top8actual_hull_random_search,8000,0.9301479550144296,0.215142355848539,False,False,False,False,0,0.0,23.9811927110355,0.08070360731512907,0.7049343846874397,0.2697010624729734,0.025364552839586677,18.916627364966477,0.11394480889653062,0.7005068845745756,0.27623680807603085,0.023256307349393435,0.11394480889653062
mct_lrq69_drop_Dfam,100M/6B,trustblend_hull_to_raw_cap015,107,0.9272546506378573,0.0,True,True,False,True,0,0.0,6.155142151057917,0.3127637459065495,0.47514796785049657,0.2120845073097977,0.3127675248397059,1.9686140765113973,0.5631363060809634,2.8016007271934986e-07,0.9999991125599331,6.072799940657403e-07,0.5631363060809634
mct_lrq69_drop_Dfam,340M/10.4B,raw_random_search,6294,0.8305978218968197,0.0,True,True,False,True,0,0.0,6.155142151057917,0.3127637459065495,0.47514796785049657,0.2120845073097977,0.3127675248397059,1.9686140765113973,0.5631363060809634,2.8016007271934986e-07,0.9999991125599331,6.072799940657403e-07,0.5631363060809634
mct_lrq69_drop_Dfam,340M/10.4B,top8actual_hull_random_search,8000,0.8427562265929024,0.1928920216536341,False,False,False,False,0,0.0,24.245110717405407,0.08588558478434564,0.7207768976200646,0.2527565494141638,0.026466552965771807,19.147069636480744,0.11370788468528165,0.7095661496102242,0.26706370023517867,0.023370150154597334,0.11370788468528165
mct_lrq69_drop_Dfam,340M/10.4B,trustblend_hull_to_raw_cap015,106,0.8305978218968195,0.0,True,True,False,True,0,0.0,6.155142151057917,0.3127637459065495,0.47514796785049657,0.2120845073097977,0.3127675248397059,1.9686140765113973,0.5631363060809634,2.8016007271934986e-07,0.9999991125599331,6.072799940657403e-07,0.5631363060809634
mct_lrq69_drop_Dfam,900M/24B,raw_random_search,6294,0.7469626355639803,0.0,True,True,False,True,0,0.0,6.155142151057917,0.3127637459065495,0.47514796785049657,0.2120845073097977,0.3127675248397059,1.9686140765113973,0.5631363060809634,2.8016007271934986e-07,0.9999991125599331,6.072799940657403e-07,0.5631363060809634
mct_lrq69_drop_Dfam,900M/24B,top8actual_hull_random_search,8000,0.7717209108521852,0.1928920216536341,False,False,False,False,0,0.0,24.245110717405407,0.08588558478434564,0.7207768976200646,0.2527565494141638,0.026466552965771807,19.147069636480744,0.11370788468528165,0.7095661496102242,0.26706370023517867,0.023370150154597334,0.11370788468528165
mct_lrq69_drop_Dfam,900M/24B,trustblend_hull_to_raw_cap015,106,0.7469626355639802,0.0,True,True,False,True,0,0.0,6.155142151057917,0.3127637459065495,0.47514796785049657,0.2120845073097977,0.3127675248397059,1.9686140765113973,0.5631363060809634,2.8016007271934986e-07,0.9999991125599331,6.072799940657403e-07,0.5631363060809634
mct_lrq75_drop_Nfam_Dfam,60M/1.2B,raw_random_search,6294,1.0216967008680486,0.0,False,False,False,False,0,0.0,10.026885597612791,0.19380105839871176,0.5386201157491589,0.4460290697097566,0.015350814541084421,11.268577019031888,0.15643161159626565,0.618575095603012,0.36906681808598724,0.012358086311000813,0.19380105839871176
mct_lrq75_drop_Nfam_Dfam,60M/1.2B,top8actual_hull_random_search,8000,1.026416391123381,0.233746772484969,False,False,False,False,0,0.0,20.997832958947644,0.09729288005660683,0.6817614588644635,0.29355595666609446,0.024682584469441944,15.769077625042138,0.13391159871869762,0.6720184996239372,0.30652972849672055,0.021451771879342156,0.13391159871869762
mct_lrq75_drop_Nfam_Dfam,60M/1.2B,trustblend_hull_to_raw_cap015,253,1.0181524788190783,0.10760650067584807,False,False,False,False,0,0.0,13.650598691960695,0.15886509783886976,0.5904372819568993,0.39083380278795093,0.018728915255149844,12.957650561324533,0.14827936693458602,0.637921607858587,0.3464283916546727,0.015650000486740378,0.15886509783886976
mct_lrq75_drop_Nfam_Dfam,100M/6B,raw_random_search,6294,0.9272546506378574,0.0,True,True,False,True,0,0.0,6.155142151057917,0.3127637459065495,0.47514796785049657,0.2120845073097977,0.3127675248397059,1.9686140765113973,0.5631363060809634,2.8016007271934986e-07,0.9999991125599331,6.072799940657403e-07,0.5631363060809634
mct_lrq75_drop_Nfam_Dfam,100M/6B,top8actual_hull_random_search,8000,0.9301479550144296,0.215142355848539,False,False,False,False,0,0.0,23.9811927110355,0.08070360731512907,0.7049343846874397,0.2697010624729734,0.025364552839586677,18.916627364966477,0.11394480889653062,0.7005068845745756,0.27623680807603085,0.023256307349393435,0.11394480889653062
mct_lrq75_drop_Nfam_Dfam,100M/6B,trustblend_hull_to_raw_cap015,107,0.9272546506378573,0.0,True,True,False,True,0,0.0,6.155142151057917,0.3127637459065495,0.47514796785049657,0.2120845073097977,0.3127675248397059,1.9686140765113973,0.5631363060809634,2.8016007271934986e-07,0.9999991125599331,6.072799940657403e-07,0.5631363060809634
mct_lrq75_drop_Nfam_Dfam,340M/10.4B,raw_random_search,6294,0.7884849594784457,0.0,True,True,False,True,0,0.0,6.155142151057917,0.3127637459065495,0.47514796785049657,0.2120845073097977,0.3127675248397059,1.9686140765113973,0.5631363060809634,2.8016007271934986e-07,0.9999991125599331,6.072799940657403e-07,0.5631363060809634
mct_lrq75_drop_Nfam_Dfam,340M/10.4B,top8actual_hull_random_search,8000,0.8512051335830919,0.1918903193537465,False,False,False,False,0,0.0,24.21370347694432,0.0884154280474169,0.7345965513921042,0.2401441527640212,0.025259295843874853,18.878647056683327,0.11223334174200693,0.7059539603983214,0.27377492158705247,0.020271118014626496,0.11223334174200693
mct_lrq75_drop_Nfam_Dfam,340M/10.4B,trustblend_hull_to_raw_cap015,106,0.7884849594784455,0.0,True,True,False,True,0,0.0,6.155142151057917,0.3127637459065495,0.47514796785049657,0.2120845073097977,0.3127675248397059,1.9686140765113973,0.5631363060809634,2.8016007271934986e-07,0.9999991125599331,6.072799940657403e-07,0.5631363060809634
mct_lrq75_drop_Nfam_Dfam,900M/24B,raw_random_search,6294,0.6810410474268869,0.0,True,True,False,True,0,0.0,6.155142151057917,0.3127637459065495,0.47514796785049657,0.2120845073097977,0.3127675248397059,1.9686140765113973,0.5631363060809634,2.8016007271934986e-07,0.9999991125599331,6.072799940657403e-07,0.5631363060809634
mct_lrq75_drop_Nfam_Dfam,900M/24B,top8actual_hull_random_search,8000,0.785763891412971,0.1739651794830027,False,False,False,False,0,0.0,25.81937383580199,0.07500713943794984,0.7746833277044051,0.20473040054272285,0.02058627175287231,20.79543731881369,0.0948629020713499,0.7368168296634368,0.2472260402841325,0.015957130052431087,0.0948629020713499
mct_lrq75_drop_Nfam_Dfam,900M/24B,trustblend_hull_to_raw_cap015,103,0.6810410474268866,0.0,True,True,False,True,0,0.0,6.155142151057917,0.3127637459065495,0.47514796785049657,0.2120845073097977,0.3127675248397059,1.9686140765113973,0.5631363060809634,2.8016007271934986e-07,0.9999991125599331,6.072799940657403e-07,0.5631363060809634
mct_lrq69_balanced_Dfam,60M/1.2B,raw_random_search,6294,1.0256728763982073,0.38305586561772825,False,False,False,False,0,0.0,16.32921700307179,0.12568455099297343,0.6374396675213285,0.35790015142079246,0.004660181057879299,17.74123162850011,0.11320882339091584,0.5856029171257582,0.2964884611873087,0.11790862168693308,0.12568455099297343
mct_lrq69_balanced_Dfam,60M/1.2B,top8actual_hull_random_search,8000,1.0283645888230117,0.233746772484969,False,False,False,False,0,0.0,20.997832958947644,0.09729288005660683,0.6817614588644635,0.29355595666609446,0.024682584469441944,15.769077625042138,0.13391159871869762,0.6720184996239372,0.30652972849672055,0.021451771879342156,0.13391159871869762
mct_lrq69_balanced_Dfam,100M/6B,raw_random_search,6294,0.9272546506378574,0.0,True,True,False,True,0,0.0,6.155142151057917,0.3127637459065495,0.47514796785049657,0.2120845073097977,0.3127675248397059,1.9686140765113973,0.5631363060809634,2.8016007271934986e-07,0.9999991125599331,6.072799940657403e-07,0.5631363060809634
mct_lrq69_balanced_Dfam,100M/6B,top8actual_hull_random_search,8000,0.9301479550144296,0.215142355848539,False,False,False,False,0,0.0,23.9811927110355,0.08070360731512907,0.7049343846874397,0.2697010624729734,0.025364552839586677,18.916627364966477,0.11394480889653062,0.7005068845745756,0.27623680807603085,0.023256307349393435,0.11394480889653062
mct_lrq69_balanced_Dfam,100M/6B,trustblend_hull_to_raw_cap015,107,0.9272546506378573,0.0,True,True,False,True,0,0.0,6.155142151057917,0.3127637459065495,0.47514796785049657,0.2120845073097977,0.3127675248397059,1.9686140765113973,0.5631363060809634,2.8016007271934986e-07,0.9999991125599331,6.072799940657403e-07,0.5631363060809634
mct_lrq69_balanced_Dfam,340M/10.4B,raw_random_search,6294,0.8305837084541869,0.0,True,True,False,True,0,0.0,6.155142151057917,0.3127637459065495,0.47514796785049657,0.2120845073097977,0.3127675248397059,1.9686140765113973,0.5631363060809634,2.8016007271934986e-07,0.9999991125599331,6.072799940657403e-07,0.5631363060809634
mct_lrq69_balanced_Dfam,340M/10.4B,top8actual_hull_random_search,8000,0.8424375876348615,0.1928920216536341,False,False,False,False,0,0.0,24.245110717405407,0.08588558478434564,0.7207768976200646,0.2527565494141638,0.026466552965771807,19.147069636480744,0.11370788468528165,0.7095661496102242,0.26706370023517867,0.023370150154597334,0.11370788468528165
mct_lrq69_balanced_Dfam,340M/10.4B,trustblend_hull_to_raw_cap015,106,0.8305837084541868,0.0,True,True,False,True,0,0.0,6.155142151057917,0.3127637459065495,0.47514796785049657,0.2120845073097977,0.3127675248397059,1.9686140765113973,0.5631363060809634,2.8016007271934986e-07,0.9999991125599331,6.072799940657403e-07,0.5631363060809634
mct_lrq69_balanced_Dfam,900M/24B,raw_random_search,6294,0.748057135559817,0.0,True,True,False,True,0,0.0,6.155142151057917,0.3127637459065495,0.47514796785049657,0.2120845073097977,0.3127675248397059,1.9686140765113973,0.5631363060809634,2.8016007271934986e-07,0.9999991125599331,6.072799940657403e-07,0.5631363060809634
mct_lrq69_balanced_Dfam,900M/24B,top8actual_hull_random_search,8000,0.771576589349127,0.1928920216536341,False,False,False,False,0,0.0,24.245110717405407,0.08588558478434564,0.7207768976200646,0.2527565494141638,0.026466552965771807,19.147069636480744,0.11370788468528165,0.7095661496102242,0.26706370023517867,0.023370150154597334,0.11370788468528165
mct_lrq69_balanced_Dfam,900M/24B,trustblend_hull_to_raw_cap015,106,0.7480571355598169,0.0,True,True,False,True,0,0.0,6.155142151057917,0.3127637459065495,0.47514796785049657,0.2120845073097977,0.3127675248397059,1.9686140765113973,0.5631363060809634,2.8016007271934986e-07,0.9999991125599331,6.072799940657403e-07,0.5631363060809634
mct_lrq75_balanced_Nfam_Dfam,60M/1.2B,raw_random_search,6294,1.0206951730296083,0.0,False,False,False,False,0,0.0,10.026885597612791,0.19380105839871176,0.5386201157491589,0.4460290697097566,0.015350814541084421,11.268577019031888,0.15643161159626565,0.618575095603012,0.36906681808598724,0.012358086311000813,0.19380105839871176
mct_lrq75_balanced_Nfam_Dfam,60M/1.2B,top8actual_hull_random_search,8000,1.0260386241563764,0.233746772484969,False,False,False,False,0,0.0,20.997832958947644,0.09729288005660683,0.6817614588644635,0.29355595666609446,0.024682584469441944,15.769077625042138,0.13391159871869762,0.6720184996239372,0.30652972849672055,0.021451771879342156,0.13391159871869762
mct_lrq75_balanced_Nfam_Dfam,60M/1.2B,trustblend_hull_to_raw_cap015,253,1.0173728210390918,0.103444923301644,False,False,False,False,0,0.0,13.491602056639,0.16021621233565925,0.588433303153285,0.3929684263705622,0.01859827047615284,12.891375059143604,0.14859464711487197,0.6371734002022938,0.3473039109089225,0.0155226888887836,0.16021621233565925
mct_lrq75_balanced_Nfam_Dfam,100M/6B,raw_random_search,6294,0.9272546506378574,0.0,True,True,False,True,0,0.0,6.155142151057917,0.3127637459065495,0.47514796785049657,0.2120845073097977,0.3127675248397059,1.9686140765113973,0.5631363060809634,2.8016007271934986e-07,0.9999991125599331,6.072799940657403e-07,0.5631363060809634
mct_lrq75_balanced_Nfam_Dfam,100M/6B,top8actual_hull_random_search,8000,0.9301479550144296,0.215142355848539,False,False,False,False,0,0.0,23.9811927110355,0.08070360731512907,0.7049343846874397,0.2697010624729734,0.025364552839586677,18.916627364966477,0.11394480889653062,0.7005068845745756,0.27623680807603085,0.023256307349393435,0.11394480889653062
mct_lrq75_balanced_Nfam_Dfam,100M/6B,trustblend_hull_to_raw_cap015,107,0.9272546506378573,0.0,True,True,False,True,0,0.0,6.155142151057917,0.3127637459065495,0.47514796785049657,0.2120845073097977,0.3127675248397059,1.9686140765113973,0.5631363060809634,2.8016007271934986e-07,0.9999991125599331,6.072799940657403e-07,0.5631363060809634
mct_lrq75_balanced_Nfam_Dfam,340M/10.4B,raw_random_search,6294,0.7862539425767683,0.0,True,True,False,True,0,0.0,6.155142151057917,0.3127637459065495,0.47514796785049657,0.2120845073097977,0.3127675248397059,1.9686140765113973,0.5631363060809634,2.8016007271934986e-07,0.9999991125599331,6.072799940657403e-07,0.5631363060809634
mct_lrq75_balanced_Nfam_Dfam,340M/10.4B,top8actual_hull_random_search,8000,0.8506993588685291,0.1918903193537465,False,False,False,False,0,0.0,24.21370347694432,0.0884154280474169,0.7345965513921042,0.2401441527640212,0.025259295843874853,18.878647056683327,0.11223334174200693,0.7059539603983214,0.27377492158705247,0.020271118014626496,0.11223334174200693
mct_lrq75_balanced_Nfam_Dfam,340M/10.4B,trustblend_hull_to_raw_cap015,106,0.7862539425767682,0.0,True,True,False,True,0,0.0,6.155142151057917,0.3127637459065495,0.47514796785049657,0.2120845073097977,0.3127675248397059,1.9686140765113973,0.5631363060809634,2.8016007271934986e-07,0.9999991125599331,6.072799940657403e-07,0.5631363060809634
mct_lrq75_balanced_Nfam_Dfam,900M/24B,raw_random_search,6294,0.6775537248468269,0.0,True,True,False,True,0,0.0,6.155142151057917,0.3127637459065495,0.47514796785049657,0.2120845073097977,0.3127675248397059,1.9686140765113973,0.5631363060809634,2.8016007271934986e-07,0.9999991125599331,6.072799940657403e-07,0.5631363060809634
mct_lrq75_balanced_Nfam_Dfam,900M/24B,top8actual_hull_random_search,8000,0.7854050404301515,0.1739651794830027,False,False,False,False,0,0.0,25.81937383580199,0.07500713943794984,0.7746833277044051,0.20473040054272285,0.02058627175287231,20.79543731881369,0.0948629020713499,0.7368168296634368,0.2472260402841325,0.015957130052431087,0.0948629020713499
mct_lrq75_balanced_Nfam_Dfam,900M/24B,trustblend_hull_to_raw_cap015,103,0.6775537248468267,0.0,True,True,False,True,0,0.0,6.155142151057917,0.3127637459065495,0.47514796785049657,0.2120845073097977,0.3127675248397059,1.9686140765113973,0.5631363060809634,2.8016007271934986e-07,0.9999991125599331,6.072799940657403e-07,0.5631363060809634
